source_code,target_code,target_display,dosage,dosage_unit
"KETAMINA (COMO CLORHIDRATO) 50 MG/ML X 10 ML","N01AX03","Ketamine","500","mg"
"PROPOFOL 1% Ó 10 MG/ML X 20 ML","N01AX10","Propofol","200","mg"
"MIDAZOLAM (COMO CLORHIDRATO) 1 MG / ML X 5 ML","N05CD08","Midazolam","5","mg"
"HIDROCORTISONA SUCCINATO 250 MG/2 ML","H02AB09","Hydrocortisone","125","mg/ml"
"FUROSEMIDA 10 MG/ML SOLUCION ORAL, GOTAS","C03CA01","Furosemide","10","mg/ml"
"CLORURO DE SODIO 20 % X 20 ML","B05XA03","Sodium chloride","20","ml"
"INSULINA HUMANA (ADN RECOMBINANTE) 100 UI / ML X 10 ML","A10AD01","Insulin (human)","1000","ui/ml"
"CLORURO DE POTASIO 20 % X 10 ML","A12BA01","Potassium chloride","10","ml"
"ENOXAPARINA SÓDICA 100 MG / ML X 0.4 ML Ó 40 MG","B01AB05","Enoxaparin","40","mg"
"ENOXAPARINA SÓDICA 100 MG / ML X 0.6 ML Ó 60 MG","B01AB05","Enoxaparin","40","mg"
"CLINDAMICINA (COMO FOSFATO) 150 MG/ML X 4 ML","J01FF01","Clindamycin","600","mg"
"HIPROMELOSA 0.3% X 10 ML SOLUCIÓN OFTÁLMICA","S01XA20","Artificial tears and other indifferent preparations","30","mg"
"SUCRALFATO 1 G/5 ML SUSPENSIÓN ORAL X 200 ML","A02BX02","Sucralfate","40","g"
"DEXTROSA Ó GLUCOSA EN AGUA 33.3 % X 20 ML","V06DC01","Glucose","6660","mg"
"CLORURO DE POTASIO 20 % X 20 ML. (F.P)","A12BA01","Potassium chloride","4000","mg"
"BICARBONATO DE SODIO 8.4 % X 20 ML","B05XA02","Sodium bicarbonate","1680","mg"
"LIDOCAINA CLORHIDRATO SIN EPINEFRINA 2% X 20 ML (CON PRESERVANTE)","N01BB02","Lidocaine","400","mg"
"SALBUTAMOL (COMO SULFATO) 100 µG / DOSIS X 200 DOSIS AEROSOL PARA INHALACIÓN","R03CC02","Salbutamol","20000","ug"
"LIDOCAINA CLORHIDRATO SIN EPINEFRINA 2% X 20 ML (SIN PRESERVANTE)","N01BB02","Lidocaine","400","mg"
"INSULINA GLARGINA 100 UI/ML X 10 ML INYECTABLE","A10AE04","Insulin glargine","1000","ui"
"LACTULOSA 3,3 G/5 ML JARABE X 240 ML","A06AD11","Lactulose","158.4","g"
"DEXTROMETORFANO BROMHIDRATO 15 MG / 5 ML X 120 ML JARABE","R05DA09","Dextromethorphan","360","mg"
"DIMETICONA ACTIVADA (SIMETICONA) 80 MG Ó MÁS/ML GOTAS ORALES X 10 ML A 15 ML","A03AX13","Silicones","80","mg"
"DOBUTAMINA (COMO CLORHIDRATO) 12.5 MG / ML X 20 ML P / INF IV","C01CA07","Dobutamine","250","mg"
"SULFATO DE MAGNESIO 10 % - 20 % (EQUIVALENTE A 0.8 MEQ/ML MG - 1.6 MEQ/ML DE MG) X 10 ML MÍNIMO IV","B05XA05","Magnesium sulfate","0.8","meq/ml"
"IOHEXOL EQUIV. 350 MG IODO/ML X 100 ML","V08AB02","Iohexol","35000","mg"
"IOVERSOL 320 MG IODO/ML X 100 ML","V08AB07","Ioversol","32000","mg"
"CARBONATO DE CALCIO 500 MG Ó MÁS DE IÓN CA","A12AA04","Calcium carbonate","500","mg"
"EPINEFRINA (COMO CLORHIDRATO Ó ACIDO TARTRATO) 1 MG / ML X 1 ML","C01CA24","Epinephrine","1","mg"
"SULFAMETOXAZOL + TRIMETOPRIMA 800 MG + 160 MG","J01EE01","Sulfamethoxazole and trimethoprim","960","mg"
"IMIPENEM + CILASTATINA (COMO SAL SÓDICA) 500 MG + 500 MG","J01DH51","Imipenem and cilastatin","1000","mg"
"SULFAMETOXAZOL + TRIMETOPRIMA 80 MG + 16 MG / ML X 5 ML","J01EE01","Sulfamethoxazole and trimethoprim","160","mg"
"EPOETINA ALFA Ó ERITROPOYETINA HUMANA 2000 UI/ML X 1 ML","B03XA01","Erythropoietin","2000","ui/ml"
"ENOXAPARINA SÓDICA 100 MG / ML X 0.8 ML Ó 80 MG","B01AB05","Enoxaparin","80","mg"
