"source_code","target_code","target_name"
"I119","I10","Hypertension"
"I10","I10","Hypertension"
"I12","I10","Hypertension"
"I13","I10","Hypertension"
"I158","I10","Hypertension"
"I11","I10","Hypertension"
"I152","I10","Hypertension"
"P292","I10","Hypertension"
"I15","I10","Hypertension"
"I110","I10","Hypertension"
"G932","I10","Hypertension"
"I674","I10","Hypertension"
"I159","I10","Hypertension"
"I150","I10","Hypertension"
"I270","I10","Hypertension"
"109915012","I20","Ischemic Heart Disease"
"116992017","I20","Ischemic Heart Disease"
"118831000006118","I20","Ischemic Heart Disease"
"11904381000006115","I20","Ischemic Heart Disease"
"11923031000006113","I20","Ischemic Heart Disease"
"1218860015","I20","Ischemic Heart Disease"
"1221061012","I20","Ischemic Heart Disease"
"1221554018","I20","Ischemic Heart Disease"
"12220751000006113","I20","Ischemic Heart Disease"
"12220761000006110","I20","Ischemic Heart Disease"
"12220771000006115","I20","Ischemic Heart Disease"
"12220781000006117","I20","Ischemic Heart Disease"
"12220791000006119","I20","Ischemic Heart Disease"
"12221301000006119","I20","Ischemic Heart Disease"
"1228282017","I20","Ischemic Heart Disease"
"1229885017","I20","Ischemic Heart Disease"
"1234005010","I20","Ischemic Heart Disease"
"1234306015","I20","Ischemic Heart Disease"
"1235225010","I20","Ischemic Heart Disease"
"12451711000006115","I20","Ischemic Heart Disease"
"12451721000006111","I20","Ischemic Heart Disease"
"12451731000006114","I20","Ischemic Heart Disease"
"12451741000006116","I20","Ischemic Heart Disease"
"12490701000006116","I20","Ischemic Heart Disease"
"12721031000006118","I20","Ischemic Heart Disease"
"12721161000006114","I20","Ischemic Heart Disease"
"12727001000006115","I20","Ischemic Heart Disease"
"12730281000006119","I20","Ischemic Heart Disease"
"12733051000006110","I20","Ischemic Heart Disease"
"144819018","I20","Ischemic Heart Disease"
"1488382011","I20","Ischemic Heart Disease"
"1547311000006116","I20","Ischemic Heart Disease"
"1547631000006117","I20","Ischemic Heart Disease"
"1547681000006116","I20","Ischemic Heart Disease"
"1547691000006118","I20","Ischemic Heart Disease"
"1547711000006115","I20","Ischemic Heart Disease"
"1576271000006117","I20","Ischemic Heart Disease"
"1576301000006115","I20","Ischemic Heart Disease"
"1576311000006117","I20","Ischemic Heart Disease"
"158611000006118","I20","Ischemic Heart Disease"
"159001000006119","I20","Ischemic Heart Disease"
"161451000006116","I20","Ischemic Heart Disease"
"161481000006112","I20","Ischemic Heart Disease"
"161491000006110","I20","Ischemic Heart Disease"
"1771141000006111","I20","Ischemic Heart Disease"
"1780491019","I20","Ischemic Heart Disease"
"1780501013","I20","Ischemic Heart Disease"
"1785743019","I20","Ischemic Heart Disease"
"1786197015","I20","Ischemic Heart Disease"
